评论,评分
充电慢，快递员也不好说话！,1
最后经过协商，客服给了补偿，手机目前没什么问题，换货的话时间太长，就这样吧,1
二手，应该是摸摸机，打开盒子后发现里面有好多指纹，果然618买东西要看运气,1
东西是好东西，就是地方线下发货的店太次了，发个东西丢三落四！手柄忘发就算了，等了n天，问了三遍，就这样吧，爱发不发我不要了,1
电池耗电太快，而且玩王者荣耀屏幕颜色看闪烁，莫名其妙变暗！！！！！,1
手机耗电太快，120w根本没用，充电快耗电快没区别，谁买谁后悔,1
经常卡死，还不如我两年前买的一代，吐了。还电竞手机？？就这，经常玩游戏卡死，没反应。真醉了,1
非常辣鸡，kpl专用机就这，打个王者荣耀都卡，还一直有电流声。,1
打游戏掉帧，发热严重,1
不值钱掉价太快一个月从四千二掉到三千五。不保值。以后。不考虑这个牌子的手机了。买的可以在等等兴许还能低于三千呢,1
手机垃圾，京东更垃圾，买来一个月换货两次，第二部手机依然有问题，vivo同意退货，京东却在推责任，至今没解决,1
本来不想给这个差评的，这也是我第一次给一个东西差评，充电确实快，费电也快，提交退货了，手机也到了商家这边了，承诺三天退款，但是没退款,1
现在手机又出现了接不到电话的情况！还有就是手机里怎么会有别人的电话号码？是不是别人推货的手机？,1
手机一般，发烫厉害，以后京东不能买手机了，店里比京东便宜300，刚买就降价，多花了600，上哪说理，还是会员，感觉真可笑,1
真是黑店 我4月一号买的 8号直接降价200 客服说过了保价周期 就差几个小时 200没了,1
不玩游戏，50%电量只能撑5个小时！没有耳机差评，不想骗人，一星都不值,1
希望京东的东西越卖越好，京东和我有缘无份，缘从今天起从此不再来,1
现在对京东越来越失望了，买个手机屏幕上有指纹，擦不掉几天了，说是换货要七天，我给的建议是帮我邮个手机膜来，理都不理，服务差差差，今天又买了点日用品叫改个地址说改不了，向只有他家卖一样牛**。,1
说实话真的是很失望商品收到赠品就一直没着落了客服回复也是等等等，建议大家买之前先问好？？,1
巨垃圾打了两个小时吃鸡卡死两次 直接卡到重启重启还重启不了 就是正常的打 突然卡死 这手机除了充电快 我真的没发现一点优点 第二天我直接退货了 真的恶心人 第一次买手机体验这么差劲,1
垃圾是真的垃圾我打个吃鸡两个小时卡死两次我小米9都一直不卡,1
"预五月初买的iqoo7,今天6.15游戏过程中突然死机，售后也没法解决，让邮寄返厂维修期15天，不提供备机服务。就这质量，这服务值得这个价格呢呢么？",1
手机垃圾，还是旗舰店，售后是**爷，客服也是爷，恶心死我了，老子以后再也不用vivo旗下手机了，真**狗。还支持国货，你也配国货。从来没有差评，你是第一个。我呸,1
手机一打游戏就烫太差劲了当初就不应该买着破手机，还是什么KPI游戏手机垃圾当初就应该卖onva8喜欢打游戏的别买这款手机,1
不为什么，就是买了就降了200块钱！让我很不爽（｀&Delta;&acute;）！,1
建议别买，4000的手机一个月之后打三把王者荣耀烫的根本不能碰，没必要贪充电速度买这个，避雷吧有这钱买一加什么都比这强，,1
声音有点小，非得开到一半以上才能听到声音，还有耳机居然不算标配，还得自己买，就这想要好评有点难哦！！,1
才用一个月直接断流无解，网络是连上在掉掉了在连，游戏是无法玩的，可能是我的运气差，不知道别人用着怎么样。,1
费电，玩猎手之王前腿三次，关键没有120帧只有60，太费电了,1
