评论,评分,分词
充电慢快递员也不好说话,1,充电 慢 快递 员 不好 说话 
最后经过协商客服给了补偿手机目前没什么问题换货的话时间太长就这样吧,1,最后 协商 客服 补偿 手机 目前 没什么 问题 换货 时间 太长 
不是新机里面有不雅照片客服也很奇葩别从这里买太过份了,1,新机 里面 不雅 照片 客服 奇葩 买 太 过份 
是真的卡打王者还断触我的天就这还职业电竞手机我服了再多付还不如买华为,1,真的 卡打 王者 断触 天 职业 电竞 手机 我服 多付 买 华为 
打游戏发烫严重然后就特别卡掉帧,1,打游戏 发烫 严重 特别 卡掉 帧 
性能非常一般卡顿发热不值这个价格配件有破损不给退换售后服务态度差不给解决问题让顾客平白蒙受损失真差劲买了东西不管是不是坏的你都得自己忍真差劲买电子产品再也不能相信京东了,1,性能 非常 卡顿 发热 不值 价格 配件 破损 退换 售后服务 态度 差 解决问题 顾客 平白 蒙受损失 真 差劲 买 东西 是不是 坏 忍真 差劲 买 电子产品 再也不能 相信 京东 
刚拿到第二天就识别不了卡然后就申请换货现在都一个星期了还是售后检测中那么明显的问题你们还要检测那么久现在想退都退不掉了第一次给碰到那么差的服务,1,刚 拿到 第二天 识别 不了 卡 申请 换货 现在 一个 星期 售后 检测 中 明显 问题 检测 久 现在 想 退 退 掉 第一次 碰到 差 服务 
屏幕太垃圾了在裤袋掉出来外屏就裂了维修还要多,1,屏幕 太 垃圾 裤袋 掉 外屏 裂 维修 
手机拆封我还录了视频密封条是开的何者晚这么多天发货在调换这个这就是京东的礼盒么爱了我也懒得找客服了说可以价保还要等有货这东西一直没有货在买了以后第二天就降价但是未出库不能价保开始说好的到后面也不行了,1,手机 拆封 还录 视频 密封条 开 何者 晚 多天 发货 调换 京东 礼盒 爱 懒得 找 客服 说 价保 货 东西 一直 没有 货在 买 以后 第二天 降价 未 出库 不能 价保 说好 后面 不行 
手机发热严重发货速度和预计时间不同最重要的是包装的密封条被拆开过,1,手机 发热 严重 发货 速度 预计 时间 不同 重要 包装 密封条 拆开 
这电池掉电太厉害了新手机一天要冲三四次后悔的,1,电池 掉电 太 厉害 新手机 一天 要冲 三四次 后悔 
重来没用过这么垃圾的手机这比网络断流真的牛逼,1,重 没用过 垃圾 手机 这比 网络 断流 真的 牛 逼 
掉电太快了放那待机俩小时掉个电出个门估计还要带着充电器我真是服了,1,掉电 太快 放 待机 俩 小时 掉 电出 门 估计 带 充电器 真是 服 
买的时候说是送耳机结果到货没有这不是骗人的吗问客服老是回复别的真是无语了,1,买 说 送 耳机 到货 没有 骗人 问 客服 老是 回复 真是 无语 
手机发热严重在空调屋子里边还经常度左右的真的垃圾失望,1,手机 发热 严重 空调 屋子 里边 经常 度 左右 真的 垃圾 失望 
非常垃圾新手机充电多分钟才过了分钟又掉到盒子也有变形,1,非常 垃圾 新手机 充电 多分钟 分钟 掉 盒子 变形 
玩吃鸡开帧手机顶部边框烫到你怀疑人生,1,玩 吃 鸡开 帧 手机 顶部 边框 烫 怀疑 人生 
发热严重还动力泵液冷散热简直就是摆设,1,发热 严重 动力 泵 液冷 散热 简直 摆设 
天不到维修两次死机无数次第一次检测没出问题说导致的第二次检测说要更换主板不给退换货说过了时间第一次检修没有过退换货时间也不给退换,1,天 不到 维修 两次 死机 无数次 第一次 检测 没 出 问题 说 导致 第二次 检测 说 更换 主板 退换货 说 时间 第一次 检修 没有 退换货 时间 退换 
真的不好真的不好我这买了不到一个周我就发现摄像机花屏我找客服客服避而不谈后来今天俺妈给我发了个电话根本听不见说的啥别买别买,1,真的 不好 真的 不好 买 不到 一个 周 发现 摄像机 花屏 找 客服 客服 避而不谈 后来 今天 妈 给我发 电话 根本 听不见 说 别买别 买 
产品像翻新机有明显缝隙还给我说是听筒就算是听筒那我第二张图画的两个圆圈是听筒范围吗再看看第三张图就跟翻新机一样,1,产品 翻新 机有 明显 缝隙 还给 说 听筒 听筒 第二张 图画 两个 圆圈 听筒 范围 看看 第三张 图 翻新 机 
大家不要买了这手机垃圾的要死刚买回来屏幕就卡死,1,不要 买 手机 垃圾 要死 刚 买回来 屏幕 卡死 
手机真实不错买就配送的耳机物流都没出来就后台给自动退货了垃圾,1,手机 真实 不错 买 配送 耳机 物流 没 后台 自动 退货 垃圾 
大家都别在他家购买,1,他家 购买 
手机出现问题商家不给解决无良心商家简直不要脸的,1,手机 出现 问题 商家 解决 良心 商家 简直 不要脸 
好差劲边框有缝过了一个月才发现不能换了谁能发现边框有个缝啊,1,差劲 边框 有缝 一个月 发现 不能 换 发现 边框 有个 缝 
超级超级坑购买之前说好赠送数据线跟蓝牙耳机的一次性购买了两台收货后联系客服说只能送一根数据线我谢谢您哦买两台手机送一根数据线我是多么缺您这一根数据线哦超级稀烂,1,超级 超级 坑 购买 之前 说好 赠送 数据线 蓝牙 耳机 一次性 购买 两台 收货 联系 客服 说 只能 送 一根 数据线 谢谢您 买 两台 手机 送 一根 数据线 缺 一根 数据线 超级 稀烂 
我劝大家不要买了刚到手机一天死机两次我都服了听我的谁买谁后悔,1,劝 不要 买 刚 手机 一天 死机 两次 服 听 买 后悔 
一晚上待机个小时一觉醒来不见了电真的辣鸡,1,晚上 待机 小时 觉醒 不见 电 真的 辣鸡 
用了不到两个月就应用就闪退电池容量太小有时候突然有点卡不建议买,1,不到 两个 月 应用 闪退 电池容量 太小 有时候 突然 有点 卡 建议 买 
号就换货了号给我发短信说有货然后分给别人让我等到号,1,号 换货 号 给我发 短信 说 货 分给 号 
解释一下手机开始发热严重掉帧卡顿什么情况不要告诉我后台来东西多了我买这个只是玩游戏什么都没干,1,解释一下 手机 发热 严重 掉 帧 卡顿 情况 不要 告诉 后台 东西 买 玩游戏 没干 
京东手机太垃圾京东二手翻新手机还故意拖延不退款京东出小偷偷拆机还不承认不退款不敢回复不解决联系电话费花了一百多一年多没解决,1,京东 手机 太 垃圾 京东 二手 翻新 手机 故意 拖延 退款 京东 出小 偷偷 拆机 承认 退款 不敢 回复 解决 联系 电话费 花 一百多 一年 没 解决 
保价是个卵的手机电池耗电快体验感极差劝大家不要购买了就是一坑,1,保价 卵 手机电池 耗电 快 体验 感 极差 劝 不要 购买 一坑 
手机突然没信号打游戏语音卡充电不稳定特别容易发烫充电宝充不进去电,1,手机 突然 没 信号 打游戏 语音卡 充电 稳定 特别 容易 发烫 充电 宝充 进去 电 
非常不好毛病很多,1,非常 不好 毛病 很多 
刚买到手价格一个星期就降价真是服了还不给保价优惠券不算保价我也在京东购物多年算是老客户了对京东很失望打算劝说亲戚朋友放弃京东,1,刚买 到手 价格 一个 星期 降价 真是 服 保价 优惠券 不算 保价 京东 购物 多年 算是 老客户 京东 失望 打算 劝说 亲戚朋友 放弃 京东 
挺垃圾的不知道好评怎么来的就玩王者荣耀都发热严重还官方认证,1,挺 垃圾 知道 好评 玩 王者 荣耀 发热 严重 官方 认证 
透顶刚买两个星期就降价块还不能补差价不想说啥了而且开个视频聊天一会手机烫的可以煎鸡蛋了真的失望,1,透顶 刚买 两个 星期 降价 块 不能 补 差价 不想 说 开个 视频 聊天 一会 手机 烫 煎 鸡蛋 真的 失望 
差评差评差评玩吃鸡屏幕自动变暗已关闭亮度自动调节,1,差评 差评 差评 玩 吃 鸡 屏幕 自动 变暗 关闭 亮度 自动 调节 
还行也就是到手第天玩吃鸡出现卡顿掉帧而已然后一边打游戏一边充电半个小时充不进去电而已我用的还是瓦快充哦什么分钟充满我开始充电分钟后冲到多而已就那样,1,还行 到手 第天 玩 吃 鸡 出现 卡顿 掉 帧 一边 打游戏 一边 充电 半个 小时 充不 进去 电 我用 瓦快 充 分钟 充满 充电 分钟 后冲 
手机电池用的太快了感觉四千块钱太不值了用户体验极差,1,手机电池 太快 感觉 四千块 钱 太 不值 用户 体验 极差 
玩了一局王者手机都能把鸡蛋煎熟了还快速充电呢十五分钟充了还不到百分之二十,1,玩 一局 王者 手机 鸡蛋 煎 熟 快速 充电 十五分钟 充了 不到 百分之二十 
手机玩吃鸡玩一两把就开始屏幕疯狂变暗锁定亮度都没用给客服反馈一直说等优化等优化一个游戏手机玩不了游戏笑死了,1,手机 玩 吃 鸡 玩 两把 屏幕 疯狂 变暗 锁定 亮度 没用 客服 反馈 一直 说 优化 优化 一个 游戏 手机 玩 不了 游戏 笑 死 
太差劲了买了俩月降价玩游戏闪退大家千万别买系统优化极差再也不买机器了,1,太 差劲 买 俩 月 降价 玩游戏 闪退 千万别 买 系统优化 极差 再也 不买 机器 
辣鸡手机还游戏手机续航拉夸系统各种还游戏手机打游戏各种误触最不好的一次体验了,1,辣鸡 手机 游戏 手机 续航 拉 夸 系统 游戏 手机 打游戏 误触 不好 一次 体验 
买了这垃圾手机后悔的一批充电口松游发热严重喇叭声音时大时小以后打死都不再买家的产品了,1,买 垃圾 手机 后悔 一批 充电 口松游 发热 严重 喇叭 声音 时大时 以后 打死 不再 买家 产品 
差评充电口轻轻一碰线就掉问客服都是机器人跑个分只能跑一半温度高得卡死,1,差评 充电 口 轻轻 一碰线 掉 问 客服 机器人 跑 分 只能 跑 一半 温度 高得 卡死 
我也不知道怎么说黑色背景下有白屏的情况客服叫我去线下服务中心检查一下我很无语快递等了一个星期刚刚拿到就有白屏的状况和绿屏差不多,1,知道 说 黑色 背景 下有 白屏 情况 客服 线下 服务中心 检查一下 无语 快递 一个 星期 刚刚 拿到 白屏 状况 绿屏 差不多 
非常不满意看直播买了两台还喊朋友一起买共三台半个月就降价亏了块答应送的双肩包一直没得差三天也不得价格保护补差价只得送了两个充电宝安慰一下心碎啊想着在王者广告里面看到的所以放弃华为试试的结果太伤心以后不会再买了,1,非常 满意 直播 买 两台 喊 朋友 一起 买 共 三台 半个 月 降价 亏了 块 答应 送 双肩包 一直 没得 差 三天 价格 保护 补 差价 只得 送 两个 充电 宝 安慰 一下 心碎 想着 王者 广告 里面 看到 放弃 华为 试试 太 伤心 以后 不会 买 
买来本来是为了玩游戏的谁知道打个王者都能烫手这散热是真的差安兔兔跑分都跑不完直接手机过热停止运行真是太垃圾了,1,买来 本来 玩游戏 知道 打个 王者 烫手 散热 真的 差安兔 兔 跑 分 跑 完 直接 手机 过热 停止 运行 真是太 垃圾 
手机发热严重车载导航时由于手机温度过高导致退出程序而且还进不去一直提示手机温度过高掉电厉害谁买谁后悔,1,手机 发热 严重 车载 导航 时 手机 温度 过高 导致 退出 程序 进不去 一直 提示 手机 温度 过高 掉电 厉害 买 后悔 
对京东的服务越来越不满意了我买一个手机拖到年后发货也就忍了手机有问题想着能换货也忍了结果拿去换京东客服居然跟我反应说需要等待下次抢购新机的时候京东帮我跟其他消费者一起抢购我买的这个享焕新版抢到才给我发货你们这么大的京东换一个手机还需要自己抢自己的商品说出来不怕被人笑吗关键我只是换手机普通版有货为什么不能直接换还说让我直接退款我抢你一台享换新多不容易你让我退款京东太差了以前买电子产品就是选择京东的快递快售后有保障现在看来京东越做越差了以后选都不选你京东了,1,京东 服务 越来越 满意 买 一个 手机 拖到 年 发货 忍 手机 问题 想着 换货 忍 换 京东 客服 居然 反应 说 需要 等待 下次 抢购 新机 京东 帮 消费者 一起 抢购 买 享焕 新版 抢到 发货 京东 换 一个 手机 需要 抢 商品 说 笑 关键 换 手机 普通 版有 货 不能 直接 换 说 直接 退款 抢 一台 享换 新 容易 退款 京东 太差 以前 买 电子产品 选择 京东 快递 快 售后 保障 现在 看来 京东 越做越 差 以后 选都 不选 京东 
手机体验充电发烫电量消耗较快玩游戏过程中就是烫烫烫手机重量还很重不值得入手买了一个月价格掉了元客服服务太差全是摔锅,1,手机 体验 充电 发烫 电量 消耗 快 玩游戏 过程 中 烫烫 烫 手机 重量 重 值得 入手 买 一个月 价格 掉 元 客服 服务 太差 全是 摔 锅 
