买家,商品颜色,版本,评论
b***嘎,深空灰色,256GB,"外形外观：外观设计不用我多说，非常不错，双面玻璃，不锈钢机身强度更高，广角和长焦双摄可以拍出更好的照片，四周为钢琴烤漆大气，手感很好，略微有点重
屏幕音效：刚分辨率OLED屏幕，边框很窄，显示效果细腻，亮度高，配有原彩显示对眼睛更温和。前后立体扬声器音效浑厚明亮。
拍照效果：后置1200w双摄，加上苹果特有的算法，是的照片更大程度上接近自然，真实逼真，摄像更是支持4k高帧率，呈现完美的动态效果。
运行速度：a12处理器，可以轻松应对当下的APP的运行，加载速度很快。借助神经元协处理器，使得运行软件更加流畅，没有任何卡顿。
待机时间：待机时间比上一代大幅度延长，如果不是重度使用，基本上一天一充，再也不用担心电池没电了，同时手机发热也控制的很好。
其他特色：iOS13的系统更加优化了操作，更增添了多重情景模式，可以让用户更加自由的选择。总之这是一款让人满意的手机，性价比很高-256G的存储空间也能够满足拍照和摄像的使用，不用担心空间不足的问题。京东自营让人放心购买，送货速度很快，服务非常棒。加油加油"
买家,商品颜色,版本,评论
u***g,金色,64GB,"外形外观：外观漂亮，厚度正好，样式新颖
屏幕音效：屏幕尺寸正好，看电影电视剧超爽。音质不错?
拍照效果：拍照效果秒杀一切手机
运行速度：A12的芯片运行流畅
待机时间：待机一星期没问题?太棒了?
其他特色：一直在用苹果，从苹果4就开始用，iOS的流畅不是一般的顺。当备用机是很好的。?"
买家,商品颜色,版本,评论
氧***芽,金色,512GB,"外形外观：iPhoneX的放大版。不锈钢边框，正反面玻璃，比xr的铝合金要好些，也更防滑。金色很好看。
屏幕音效：屏幕很精细。毕竟是上代旗舰。比xr的现实效果要细腻太多。黑框也窄。这里是我我都有，平心而论，单看的话，区别不太明显。
拍照效果：拍照杠杠的。弱光环境下的表现也很不错。和iPhone X比的话，X都拍出来黑不隆冬的，Max还能拍出清晰的视图来。
运行速度：很快，况且买的是512版本。如丝般润滑。
待机时间：中度使用。一天肯定用不完。
其他特色：性价比吧。京东这款机器目前超值，没有之一！"
买家,商品颜色,版本,评论
壹***闷,金色,256GB,"外形外观：入手的是金色，单从外观来看是很大气的,这款iPhoneXsMax背面的金@调更深，又带有点绯红色。并且可随光线的变化而加深。屏幕音效：iPhoneXsMax上双扬声器的体积，还加入了宽屏立体声，外放效果相比前代机型有着显著的提高，高频明亮，低频震撼，不管是玩游戏、看视频、听音乐他的效果都是非常好的。拍照效果：由于刚到手拍摄条件也有限，但OLED屏确实爽，黑位简直完美，对比度很高，色彩的还原与亮度都比7P好很多。运行速度：A12毫无疑问是去年性能最强的芯片，我基本不用手机玩游戏，跑分更是YY，不过我还是实测了一下吃鸡，发热控制非常好，基本感觉不到热量，吃一把鸡28分钟耗电9%，就这样。待机时间：据说电池跟11不好比。这个有待日后观察。其他特色：XSMax上的实际表现，无疑是优秀的。流畅的操作体验，迅速的反馈，精美的过渡动画，都能够让你在这台手机上获得心情愉悦的体验。"
买家,商品颜色,版本,评论
等***凌,银色,64GB,618当天买的 看到有优惠活动 所以心动不如行动 直接入手了一台银色的 颜值超棒 个人感觉跟11比起来 各有各的优势   朋友问我为什么要买 因为太喜欢了 拿到手机 一上手感觉太爽了
买家,商品颜色,版本,评论
小***4,深空灰色,64GB,"外形外观：终于买到满意的商品了，超出期望，非常喜欢，身边的人都问我要链接
屏幕音效：收到后打开看了，材质很好，挺厚实，用起来特别用质感
拍照效果：东西非常棒，这是第二次买了，质量特别好，物美价廉
运行速度：很不错，服务态度很好，有点问题客服很快就给了让我最满意的处理结果
待机时间：跟以前买的感觉一样，希望好用
其他特色：正品，多年老顾客了"
买家,商品颜色,版本,评论
****y,深空灰色,256GB,6sp换过来的，快递盒觉得还好，简陋谈不上，主要看物流过程有没有野蛮，手机外观暂时没有发现任何问题，第一次在京东买手机还是很担心的，收到货没大问题就放心了，至于什么翻新机，我也不懂，同事说即使是发货前也都设置的看不出来了，主要看运行流畅否，才入手还没感觉速度，屏是够大，其实觉得6sp也很好用，iPhone还是很耐用的，所以这次屏碎了又换iPhone。
买家,商品颜色,版本,评论
1***p,银色,256GB,"外形外观：外观颜值还是很高的.用料比11强太多了.主要价格和11差不多
拍照效果：拍照效果 很不错 有人说11好 但是我感觉Max很好
屏幕音效：屏幕碾压11。作为去年的旗舰 还是能秒杀市场上百分之90以上的手机屏幕。音效不得不说之前用6S。这个音效好太多了。幸好当初没选11。"
买家,商品颜色,版本,评论
T***M,银色,256GB,首先肯定一下京东物流就是快，3号晚上拍下第二天就到手。一直犹豫在网上买是不是正品机，在其它网上便宜很多，最后还是选择在京东商城购买，开机后查询了一下序列号是正品，这次京东优惠力度大，领了500元优惠券256G内存才六千多太值了，特意试用了几天没出现什么卡顿现象，屏幕色彩饱和度非常漂亮，MAX屏幕分辨率特高，拍相真的无可挑剔，音乐立体声非常好，白色机子加上银白色不锈钢边框玻璃后壳，显得非常干净上档次，从机子整体配置来看比刚出的11好多了。相信京东购物无犹。
买家,商品颜色,版本,评论
****7,金色,256GB,手机不错，非常棒，之前看了11，去实体店做了充分对比，还是选择了XSMax.用了三天，说实话不后悔，表现非常棒，各方面，因为之前做了很多功课，打算买这款手机的亲们，千万不要升级手机系统，我现在是12.4的系统，非常好用，信号非常好，信号和WiFi信号，不次于我手上的荣耀V20。很多人升级完系统手机基本上就废了，总之非常好，达到了预期的要求，不会是18年的旗舰机型，作为一个京东钻石会员，这次非常满意，也是第1次写那么多评价，买这款手机的朋友们，切记切记不要升级系统，毕竟苹果是买系统送手机，哈哈哈
