评论,评分
vivo的粉丝，趁618活动入手x60pro+，手机做工非常精致，设计感很强，试用几天了，运行流畅，也没有严重的发热情况，拍照效果确实很赞，真不是吹的，很满意很满意,5
外观很漂亮，屏幕反应也快，音效杠杠的，不得不说的是防抖效果是真的好，对着物体边摇手机边拍照，照出来还是很清晰。运行速度也好快，12+3的运行速度是超级快，这是我用过的最好用的手机了，另外送的耳机音效也很棒。,5
vivox60系列上市来一直关注，这次终于下定决心入手vivox60pro+了，新机今天上午一到手，开箱眼前一亮，真机比图片中要漂亮，做工精细，手感很好，屏显细腻，配置就不用说了， 骁龙888，12+3+256，不用担心空间不够用了，我不玩游戏，喜欢拍照，试拍了几张，蔡司镜头效果杠杠的，出去玩可以尽情的发挥了。,5
送货快服务好，外观漂亮，配置高端，旗舰影音体会中。外形外观：曲面屏屏幕音效：效果好拍照效果：体验中运行速度：很好待机时间：够用其他特色：目前市场上拍照手机一流,5
拍照效果：拍照真的很绝，这点没毛病，电池也可以，充电很快，音质不错，显示屏也很好，确实有点发热，但手机基本都发热，不影响使用。运行速度很快，不卡，这个价位很好了！,5
vivo x系列上市来一直关注，上部手机也是vivo x系列的，做工很细致，手感很好，玩游戏也不卡顿，拍照效果很棒,5
优点：按个人感觉来说，这台x60pp已经是目前所有在售的拍照手机里面拍照能力最强悍的手机了，在焦段超广角至人像50mm范围内，成像素质高度可用，色彩控制很好！几乎可以替代掉我以前使用的单反习惯了，以往安卓那种傻锐油画现象大为减轻，人像拍摄更是这套镜头系统精髓，拍女孩子非常好看，有佳能那种味道了。直出可用度目前最高。，  骁龙888，ufs3.1，3200速率的ddr5内存，这三件套安卓能用的最高端，日常中轻度使用无过热现象，888限制的很好！  重量191g，还不错。素皮后盖很好。  系统已经追赶上来了，拖其他友商以及自身强发展，目前感觉originos已经很不错，属于第一梯队了。缺点：这台骁龙888中轻度还行，高帧率重负载玩你懂的，重度游戏不行。    素皮散热拉后腿。     没双扬声器，这价位没双杨的就这台吧。没有无线充电，三星e3屏幕，电池只有4200毫安时。 总结：如果你完完全全只要求拍照很好的手机，性能还能凑合着用的话，那这台手机完完全全就是你目前能选的，最能拍照手机。,5
用了半个月来认真评价。外观正面居中挖孔屏、背面橙色素皮和云阶摄像模组都是我喜欢的设计，辨识度也有了。最重头的拍照部分有vivo对色彩一贯出色的调教以及微云台和蔡司的加持，拍摄人物和风景照片直出可用率极高，合成速度也比较快，远景和动态物体成像一般，值得表扬的还有逆光场景，t星镀膜防炫光能力对比同事的某为某米旗舰机都强很多。originOS用起来还算顺手，我觉得各家大厂ui差别不大。性能方面都说骁龙888容易烫手，我很少玩游戏就觉得还行，刷刷微博之类的温度在40度左右，运行也算流畅，刷天喵倒是经常出现卡顿打不开的情况(怀疑是**软件自己的问题)。续航中度使用维持一个白天，快充55w30多min充满我已经很满意了，我之前用的22w某星手机3个小时才能充满怕了怕了。总体是一款优秀的手机，喜欢拍照非游戏和外放重度使用者值得买，以及更期待x70pro+的发布了。,5
外形外观：经典橙色配合高档素皮材质，让手机显得很高档。握在手上，用手触摸都非常舒服，不像传统玻璃和金属，塑料那样，而是更多一份温度感。屏幕音效：和60pro一样采用6.5英寸AMOLED居中打孔屏，毫无意外是钻石排列，2376*1080分辨率、120Hz高刷、240Hz触控采用率、P3广色域以及HDR10等旗舰机该有的都有。同时加入了峰值达1300nit的阳光屏，户外阳光直射下使用依然非常清晰。拍照效果：拍照系统是主要区别于x60pro的升级，vivo X60 Pro+采用的双主摄:索尼IMX598的4800w像素超广角+三星GN1的5000万像素主摄。非常的好的兼顾拍摄画面稳定和广角拍摄成像清晰度不高问题。同时后置800万像素潜望摄像头支持5倍光学，60倍数字强大变焦。运行速度：x60proplus采用骁龙888高通旗舰处理器，5**制程工艺，并且是首次采用ARM Cortex X1超大内核，CPU主频最高2.84Ghz，Adreno 660 GPU模块，安兔兔高达710000+ 分数，毫无疑问安卓手机顶尖水准。其他特色：全新OriginOS操作系统，新的系统UI采用类似华容网格设计，更多的大图标以及扁平化，视觉观感更加直接且简洁。,5
包装非常好，快递也很快。也是vivo粉了，所以618就下手新款了，优点是手机速度快很多，操作也觉得更人性化了，轻便，手机大小刚好一个手能操作，比之前的好，拍照非常不错，很清晰，远处的景色也能拍得可以。自带的美颜相机也能自拍。,5
