评论,评分
一分钱一分货。将就用吧,3
什么都非常好，就是没有自带耳机,3
还好，没发现其他的问题,3
屏幕不错，就是系统拉胯,3
拍照效果：能拍照，可以扫码，。,3
跟产品无关，买了后便宜了200块，****ingbaster,3
充电是挺快的，耗电也挺快的,3
怎么说呢这个快递的防护你细品一下,3
屏幕刷新挺好，电池轻度使用基本够一天,3
运行速度：下载东西速度特别快,3
还可以，不过打游戏老是卡，,3
暂时没有出现问题，后期在看吧,3
玩王者每把必给你卡失控几次，心累（￣ー￣）,3
暂时用得还可以，电量去得有点快,3
手机不错，就是送了电热饭盒没有耳机很烦,3
拍照效果：自带特效自带美颜挺好的,3
快递小哥很给力，手机充电很快,3
充电速度很快，拍照也很清漆，新手机运行都是很快的，屏幕也很大，有256g就更加完美了,3
还行就是玩大行游戏要发热,3
玩游戏会闪退，耗电很快,3
买了16天刚好过价保就降了,3
性价比很高，就是电池续航不行！,3
其他特色：充电器瞬间发烫，怕爆炸。,3
一般吧。。。。。手机种类太多。。。。。听说天玑1000+不错。。。。。试试吧。。。。。,3
系统好慢，还没我在用的旧手机快了,3
不过千元机 用习惯了还是挺方便的,3
电池很费电，其他还好吧,3
买手机跟商家商量好佩戴耳机哦,3
电消耗太快其他都还行,3
拍照效果：一般运行速度：现在玩游戏偶尔会卡，点不动,3
一天放着不用掉电很快！,3
手机还行。就是耳机没到,3
不打游戏还行，游戏有时候会卡,3
感觉电量耗得有点快，手机不错，速度杠杠滴,3
打原神不信呀，一卡一卡的，马赛克的那种,3
有时候还是会很卡！其他的还行,3
断触难受死其他还好性价比可以,3
稍后做一个评测 先来个评价,3
娱乐兔-鲁大能-geekbench4-3dmark等多方软件测试，手机性能是可以的 ，宣传中的53万跑分虚高，暂未感觉到前辈评论中提到的相机很差等情况。,3
玩大型游戏玩卡顿，最大的优势就是便宜。,3
基本上还行就是分跑的少了点才430509咳,3
手机挺好的，就是耗电快,3
运行速度：吃鸡闪退    3天左右一次,3
快递很给力，手机刚到，用用才知道好不好,3
手机还不错就是没耳机,3
电池一点不耐用的呢，充电是很快，,3
待机时间：可以其他特色：偶尔点了没反应运行速度：马马虎虎,3
手机还好吧   就是刚买一个多星期  就降了200  还没办法价保,3
没读点书真的还看不懂这个繁体字???,3
手机还可以就是电池不耐用,3
短暂的使用还可以      不知道时间长了怎么样,3
我滴乖，我想用用看在评论上去就给降300块,3
还可以，现试着再用用,3
凑合，只能说他可以,3
手机还可以，从配置上来讲，有点贵了，可以再等等的,3
拍照效果：视频电话非常模糊运行速度：玩游戏还可以,3
一分钱一分货吧！做工用料也就这样了。,3
为啥我8g运行的没耳机，他们6g运行的都有耳机...,3
手机很不错，但是不知道为什么充电器有轻微污渍和划痕，求解,3
送的耳机呢？逗我玩呢,3
勉强吧,3
还行吧,3
充电是挺快的，玩游戏是真不行。,3
性能跟z1比起来还是有点差距的,3
玩游戏还行挺顺但用网络时好时坏,3
自动关机，从新开机开了5.6次,2
~视频跳蓝屏，一闪一闪的蓝屏，家里大人不会重装~和下载，还被骂了一顿说买个假的骗老子，照相是好的，太气人了,2
耳朵都不送一个,2
此用户未填写评价内容,2
运行速度：不够快，很一般，买没多久降到1299元，不给补差价。差评。,3
一般,3
充电快 耗电也很快 待机八个小时耗电百分之五一天可能要充两次电 其他的挺好,3
买了几天就掉价了,3
别的还好就是电池一点都不耐用  一天一冲   还没我的旧手机电耐用,2
像素非常非常一般，其它功能都一般等等。一分钱一分货。,3
耗电比较快！比我旧手机Z5用啦两年的还要快的多！我也不打游戏！,3
使用了一段时间，感觉还不错。只是收到货就降价格，太不厚道,3
刚买半个月就降价了,3
还可以,3
手机用了一段时间，总体来说很一般，也许是和价钱有关系，听歌音质还不错，打游戏就不行了，王者荣耀的画面感很差，总会有颜色一闪一闪的，~聊天打字总有时候按不出来，运行也是慢，就是因为我用了五年的手机运行慢我才换的，结果这个手机一样运行慢，点开个软件慢吞吞的才打开，像素还行，也就听歌还过得去,3
外形外观：很漂亮运行速度：很快买个5G手机耳机都不送 服了,3
刚开始用，暂时给个中评吧。,3
外形外观：还行屏幕音效：屏幕分辨率有点黑运行速度：OK,3
还可以，传输数据不好传 ，,3
手机电池不怎么耐用，其他都还好，总体还不错,3
刚开始用全屏，有点不习惯，感觉还行吧,3
一般般吧老人用的，不打游戏不打游戏应该没什么问题。,3
刚用几天，充电快。性价比不错。,3
还没使用，使用一段时间在评价,3
一般般，适合入门新手用,3
二次销售的手机，给个中评可以吧,3
这个价格还可以，发烫还算一般,3
手机运行速度快，电池不耐用，用不了一天,3
手机收到了，一个价格一种货，能用,3
其他特色：特别烫特别烫特别烫待机时间：玩游戏刷视频电量下的特别快,3
第一次买这个品牌一般般。想退可以吗,3
不流畅屏幕 其它还好,3
运行速度：还可以拍照效果：还可以待机时间：很差劲，耗电特别快,3
原装55瓦的充电器怎么是66瓦,3
还行吧，用电快是真的,3
手机还不错，就是新系统毛病一大堆,3
电池内充确实快，但用的也快，这个价这手机贵了点,3
玩游戏还行挺顺但用网络时好时坏,3
整体还可以吧，有时会闪屏，偶尔反应迟钝～～～,3
质量有待提高啊，用了几个月就反应迟钝了,3
玩游戏清晰度不高其他特色：无运行速度：还行拍照效果：差,3
拍照效果：有个超广视角，还可以,3
还好，个人觉得还挺不错的，用几天试试看。好了会追评的\\^O^/,3
用起来的话，不是特别省电，充一次电能管一天充电挺快的,3
***太过于垃圾，不屑于用。手机今天把WIFI 关了还断了流量怎么连都连不上？，重新开了机才能连得上网,3
外形外观：良屏幕音效：般拍照效果：般运行速度：般待机时间：般其他特色：般,3
快递是真的快，发货是真的慢,3
所有的一切都很完美，就是耳机得自己买?，让我停下了打五星的步伐,3
拍照效果：可以待机时间：一般运行速度：一般,3
货已经收到，没有，耳机，还可以。,3
还没使用，再看吧！希望不要失望,3
?以我的实际经历给大家提个醒：买手机一定要到京东搞活动再出手，因为保价期只有7天，如果你8天前买的手机，等搞活动时降价了。只能说你买早了。个人经验，仅供参考。,3
外形挺好看的，拍照功能体验感很差。其他的，还没开始用。,3
手机用着还行，用电太快了！玩吃鸡游戏有点卡！,3
手机还可以，就是快递员不给力，不送货上门，私自放提货点，而且提货地方也远,3
外形外观：一般，屏幕音效：还好拍照效果：还好运行速度：快待机时间：长,3
一般般吧。5g功能现在还没有用到。,3
除了不耐电，其余的都还好，一天冲一次电，,3
手机掉电快，其它方面先用用在评价！,3
比起ioop一代还是有点差距的，少了很多东西，但是就论这个价位来说，已经非常不错了品质很不错?，性价比比较高的的商品?，喜欢的亲可以直接下手不要犹豫哦?,3
拍照一般尤其后置摄像头其他功能都可以,3
电池不耐用，用电很快。,3
指纹解锁经常失灵无效。电池不耐用,3
运行速度：快这个价位是比较划算的手机，双十一买比较香，就是感觉耗电有点快,3
手机运行很快，拍照防抖很差，电池不耐用,3
充电是挺快的，玩游戏是真不行。,3
东西还可以，可惜没用一周屏幕就有裂纹了。,3
用了一段时间，还不错，没带耳机蓝牙耳机都没带总体还行，,3
手机用着还不错，整体的比较流畅，支持国货。,3
个人觉得还挺好，但是我感觉手机有点歪斜 。,3
好评给今天送快递的小哥，久等辛苦了。,3
用了感觉不错，就是没货导致拍了几天才送到,3
买给老爸用的。目前还可以。真是买过就降价,3
新一代暖手宝，12G的运存，打两把王者就发热变460ms。,3
手机像素挺好，游戏也不卡，非常流畅，就是会发热,3
让我11点以前下单当天下午可以到，结果第二天快十二点到,3
爱酷的手机性价比还是可以的，配置比红米好价格差不多少，物流很快，今天买明天就送到，就是价格一天一个价，是不是又来个卷防不胜防，2天时间可以差价几百，这点很不好，买个手机价格还要看运气。,3
手机总体体验还可以，就是用了不到一个月，出现4-5回闪退现象,3
手机收到了，挺好的，就是电池量不耐用,3
运行速度：总体可以接受，掉电快,3
扎心了，今天刚到手里，就优惠200,3
手机很漂亮，打开APP反应速度很快，拍照一般，电池可以用一天吧！,3
待机时间：待机时，掉电都比较快，,3
为什么自动确认收货，手机暂时没有什么毛病,3
手机各方面挺好，送个耳机就更好了，希望官方下次可以多送点赠品,3
还不错吧，送人的,3
接受信号差满格网刷~都刷不起太失望了,2
