评论,评分
一分钱一分货。将就用吧,3
什么都非常好，就是没有自带耳机,3
还好，没发现其他的问题,3
屏幕不错，就是系统拉胯,3
拍照效果：能拍照，可以扫码，。,3
跟产品无关，买了后便宜了200块，****ingbaster,3
充电是挺快的，耗电也挺快的,3
怎么说呢这个快递的防护你细品一下,3
屏幕刷新挺好，电池轻度使用基本够一天,3
运行速度：下载东西速度特别快,3
耗电太快,3
手机感觉像翻新的,2
其他方面还行，就是掉电严重，而且其他充电线也能快充，怕是假的吧,3
拍照不清晰。电池耗电快。,2
没有想像中那么好,2
居然没有说明书。用了快一个月了，除了电量掉的快，像素也就那样，锁屏黑屏时候，来信息没有指示灯提示。千元机要求也就这样了。,2
刚用不到20天，手机视频时屏幕会闪，像手机用啦很久一样。感觉品质一般。,2
用着还行，就是打电话经常听不到声音，客服说4g卡不能开5g的信号，不知道是不是糊弄我？别人的5g手机为啥就可以呢？,2
这手机反应太慢了，有时候还有点卡,3
差评，地址发错，外包装破损,2
买了16天刚好过价保就降了,3
性价比很高，就是电池续航不行！,3
其他特色：充电器瞬间发烫，怕爆炸。,3
一般吧。。。。。手机种类太多。。。。。听说天玑1000+不错。。。。。试试吧。。。。。,3
系统好慢，还没我在用的旧手机快了,3
不过千元机 用习惯了还是挺方便的,3
电池很费电，其他还好吧,3
买手机跟商家商量好佩戴耳机哦,3
电消耗太快其他都还行,3
拍照效果：一般运行速度：现在玩游戏偶尔会卡，点不动,3
一天放着不用掉电很快！,3
手机还行。就是耳机没到,3
不打游戏还行，游戏有时候会卡,3
感觉电量耗得有点快，手机不错，速度杠杠滴,3
打原神不信呀，一卡一卡的，马赛克的那种,3
有时候还是会很卡！其他的还行,3
断触难受死其他还好性价比可以,3
稍后做一个评测 先来个评价,3
娱乐兔-鲁大能-geekbench4-3dmark等多方软件测试，手机性能是可以的 ，宣传中的53万跑分虚高，暂未感觉到前辈评论中提到的相机很差等情况。,3
玩大型游戏玩卡顿，最大的优势就是便宜。,3
基本上还行就是分跑的少了点才430509咳,3
手机挺好的，就是耗电快,3
运行速度：吃鸡闪退    3天左右一次,3
快递很给力，手机刚到，用用才知道好不好,3
手机还不错就是没耳机,3
电池一点不耐用的呢，充电是很快，,3
待机时间：可以其他特色：偶尔点了没反应运行速度：马马虎虎,3
手机还好吧   就是刚买一个多星期  就降了200  还没办法价保,3
没读点书真的还看不懂这个繁体字???,3
手机还可以就是电池不耐用,3
短暂的使用还可以      不知道时间长了怎么样,3
我滴乖，我想用用看在评论上去就给降300块,3
还可以，现试着再用用,3
凑合，只能说他可以,3
手机还可以，从配置上来讲，有点贵了，可以再等等的,3
拍照效果：视频电话非常模糊运行速度：玩游戏还可以,3
一分钱一分货吧！做工用料也就这样了。,3
为啥我8g运行的没耳机，他们6g运行的都有耳机...,3
手机很不错，但是不知道为什么充电器有轻微污渍和划痕，求解,3
送的耳机呢？逗我玩呢,3
体验一般，适合当老年机！,3
到货速度很快，外包装感觉被人拆过，以为送耳机，谁知道没有,3
外形外观：就几天，带着全包软壳，今天一看花了,3
屏幕反应不灵敏！有时候点赞都得按四五下！其他还可以,3
外形外观：厚重，没上一个感觉好运行速度：还可以,3
运行速度快，外观漂亮。,3
用流量打王者总是会卡  ms经常会黄红！,3
耳机都没有，记得以前买vivo手机一直都有配的。怪自己没问清楚啊。失算了。,3
杂牌 不知道好不好用,3
电量一点都不经用，不过充电蛮快的,3
手机收到 不错 就想问问耳机什么时候能到？很久了。,3
性价比不错，使用时耗电太快，充电比较迅速,3
电池用得有点快，但是充电很快,3
刚买一个月就降价三百块，这个操作实在是让人心痛,3
物流很快，手机用电太快了太快了,3
这个手机还是比较发热的，暂时比较流畅,3
性价比不错 就是照相相比于5年前的iphone7p还差点,3
质量不错，拍照一般。,3
手机外观不错，非常喜欢,3
掉电还是较快的，充电也较快，屏幕灵敏度一般。,3
外形外观：很漂亮运行速度：很快买个5G手机耳机都不送 服了,3
刚开始用，暂时给个中评吧。,3
外形外观：还行屏幕音效：屏幕分辨率有点黑运行速度：OK,3
还可以，传输数据不好传 ，,3
手机电池不怎么耐用，其他都还好，总体还不错,3
刚开始用全屏，有点不习惯，感觉还行吧,3
一般般吧老人用的，不打游戏不打游戏应该没什么问题。,3
刚用几天，充电快。性价比不错。,3
还没使用，使用一段时间在评价,3
一般般，适合入门新手用,3
二次销售的手机，给个中评可以吧,3
这个价格还可以，发烫还算一般,3
手机运行速度快，电池不耐用，用不了一天,3
手机收到了，一个价格一种货，能用,3
其他特色：特别烫特别烫特别烫待机时间：玩游戏刷视频电量下的特别快,3
第一次买这个品牌一般般。想退可以吗,3
不流畅屏幕 其它还好,3
运行速度：还可以拍照效果：还可以待机时间：很差劲，耗电特别快,3
原装55瓦的充电器怎么是66瓦,3
还行吧，用电快是真的,3
手机还不错，就是新系统毛病一大堆,3
电池内充确实快，但用的也快，这个价这手机贵了点,3
玩游戏还行挺顺但用网络时好时坏,3
整体还可以吧，有时会闪屏，偶尔反应迟钝～～～,3
质量有待提高啊，用了几个月就反应迟钝了,3
玩游戏清晰度不高其他特色：无运行速度：还行拍照效果：差,3
拍照效果：有个超广视角，还可以,3
还好，个人觉得还挺不错的，用几天试试看。好了会追评的\\^O^/,3
用起来的话，不是特别省电，充一次电能管一天充电挺快的,3
***太过于垃圾，不屑于用。手机今天把WIFI 关了还断了流量怎么连都连不上？，重新开了机才能连得上网,3
外形外观：良屏幕音效：般拍照效果：般运行速度：般待机时间：般其他特色：般,3
快递是真的快，发货是真的慢,3
所有的一切都很完美，就是耳机得自己买?，让我停下了打五星的步伐,3
拍照效果：可以待机时间：一般运行速度：一般,3
货已经收到，没有，耳机，还可以。,3
还没使用，再看吧！希望不要失望,3
?以我的实际经历给大家提个醒：买手机一定要到京东搞活动再出手，因为保价期只有7天，如果你8天前买的手机，等搞活动时降价了。只能说你买早了。个人经验，仅供参考。,3
外形挺好看的，拍照功能体验感很差。其他的，还没开始用。,3
手机用着还行，用电太快了！玩吃鸡游戏有点卡！,3
手机还可以，就是快递员不给力，不送货上门，私自放提货点，而且提货地方也远,3
外形外观：一般，屏幕音效：还好拍照效果：还好运行速度：快待机时间：长,3
一般般吧。5g功能现在还没有用到。,3
除了不耐电，其余的都还好，一天冲一次电，,3
手机掉电快，其它方面先用用在评价！,3
比起ioop一代还是有点差距的，少了很多东西，但是就论这个价位来说，已经非常不错了品质很不错?，性价比比较高的的商品?，喜欢的亲可以直接下手不要犹豫哦?,3
拍照一般尤其后置摄像头其他功能都可以,3
电池不耐用，用电很快。,3
指纹解锁经常失灵无效。电池不耐用,3
运行速度：快这个价位是比较划算的手机，双十一买比较香，就是感觉耗电有点快,3
手机运行很快，拍照防抖很差，电池不耐用,3
手机软件经常会闪退，不耐电，现在只看小说，也就可以用7-8小时拍照效果：还行吧运行速度：刚买的，所以还可以，其他特色：不过网有点慢呀,3
本想在网上买，便宜一点，人家在实体店买，还便宜200块钱，同样的配置，同样的手机，说多了都是泪呀,3
新手机上面为什么会有***抖音腾讯番茄小说?,3
很一般，用了两年多的中兴天机9反应慢，划屏拖影头晕，画质一般，无线网差。,3
有些时候突然条屏，其他的都还可以，工作手机。无所谓,3
就是录音效果很差，声音听起来很沙,3
说实话 有点差劲了 期望太高了  卡  打开相机会延迟对焦,3
真的太垃圾了 不是想恶意给他差评  真的 太垃圾了 使用体验差的不行,3
玩游戏烫手、卡、充电发热、已退货！,3
漏电快,3
让我11点以前下单当天下午可以到，结果第二天快十二点到,3
爱酷的手机性价比还是可以的，配置比红米好价格差不多少，物流很快，今天买明天就送到，就是价格一天一个价，是不是又来个卷防不胜防，2天时间可以差价几百，这点很不好，买个手机价格还要看运气。,3
手机总体体验还可以，就是用了不到一个月，出现4-5回闪退现象,3
手机收到了，挺好的，就是电池量不耐用,3
运行速度：总体可以接受，掉电快,3
扎心了，今天刚到手里，就优惠200,3
手机很漂亮，打开APP反应速度很快，拍照一般，电池可以用一天吧！,3
待机时间：待机时，掉电都比较快，,3
为什么自动确认收货，手机暂时没有什么毛病,3
手机各方面挺好，送个耳机就更好了，希望官方下次可以多送点赠品,3
