评论,评分
长得不错，颜值很高，方方正正的，轻薄，拿在手里很舒服，电池还行吧，撑一整天有点压力，充电速度也不是很快，充电器33W，实际功率20W的样子，充满大概一个小时，拍照很不错，还带视频防抖，功能强大，有很多nice的功能，运行流畅，王者什么的没有压力，前置广角摄像头很棒，但是后置广角摄像头图像有点变形，origin系统很棒，天玑1100很强大，5G网速很快，有40M/s，手机综合性能不错,5
手机收到了。京东的物流真的给力。13号下午下的订单，14号中午收到。外形外观：确实是我喜欢的，无论是造型还是工艺线条真的非常的好。简直是爱不释手。屏幕音效：手机的音效那是没得说，外音清澈洪亮。入耳很震撼的那种感觉，手机的喇叭又不会抖动。拍照效果：像素效果没得说，确实很棒。运行速度：手机的运行速度非常的快。刚买的手机运行速度都不会差，等过一段时间再追评。待机时间：刚打开48个电，用了用电量还可以。毕竟是智能手机，运行的软件功能太多，所以耗电量还是大一点。其他特色： Vivo手机的语音功能，还有一些辅助功能，确实很实用，有一些小应用真不错。而且很重要的一条。现在网购的手机，它的售后和维修都非常的方便。我这款vivo S9的手机电子保单已经激活，在我们县城就可以售后维修。如果有需要的朋友推荐，赶快下单入手，值得拥有。,5
手机外观设计很好看，手机反应很快，手机很好用，照相很清，听歌音质很好,5
vivo S9还支持五重超质感美颜，可以自动美妆；以及光影模式、双重曝光等带来的自动打光效果等等，在自拍功能与玩法方面都给予了用户需求方面的最大满足。所以对于喜欢自拍的朋友们而言，这可能真是目前最值得买的一款自拍手机了。,5
vivo S9 5G手机 8GB+256GB 朝露白 前置4400万超清双摄 后置6400万OIS黑光夜视 6**旗舰芯片 拍照手机手机不错，做工没得说，相机很满意，外形外观：高端大气上档次，低调奢华有内涵。屏幕音效：整体来说很不错。拍照效果：满意。运行速度：凑合待机时间：用了4小时，掉了17%的电。其他特色：适合女性。,5
618零点下单的，第二天下午就送到家了，京东物流简直是一级棒！手机盒子看着就漂亮，手机简单时尚感十足，握着轻薄舒适。新机运行比较流畅，&ldquo;朝露白&rdquo;比图片好看，很喜欢这个颜色。对了还送了一张联通卡。拍照效果：很好，感觉不用P图了哈哈哈。待机时间：有点费电，待机时间有待加强。,5
老早就收到货了，特地用了几天才来评价，vivoS9手机的颜值高，拍照功能非常清晰，运行速度快，手机充电快，一天一充，机身轻薄，不累手，大爱。还有客服服务态度非常好，不懂的都会耐心讲，就冲这点必须点赞??,5
外观挺漂亮，手感很不错，屏幕看着舒服，拍照效果不错，运行速度挺快的，待机时间还可以，可惜是给我闺女的手机换购的。,5
特意用了两天来评价的，当天晚上下单第二天下午就收到了，京东物流就是快，给力！收到真的很惊喜，手机盒子很漂亮，是全新未拆的新机子，手机也惊艳到我了，真的很漂亮，手感也很好，是我想要的样子，运行速度非常快，这么大的内存够我用的了，拍照也非常的好，很清晰，夜景也清晰，喜欢拍照的可以选这款，真心推荐，还有耳机声音真的大，不像别的牌子的耳机听的声音真的非常的小，这个带的耳机真的非常的好。没让我失望,5
第一天买第二天就到货了京东物流就是快！vivos9像素就是好不管是拍人还是拍物都特别清晰！外形外观：外观设计的很好很漂亮，超薄很有手感，屏幕音效：音质很好屏，幕很清晰！刷新率也很好！运行速度：12G256G速度果然很快牌照玩游戏都很过瘾！,5
