评论,评分
手机真心没我现在用的好  现在iQOOPro,3
手机挺好，就是电量储存不怎么好,3
手机挺好的，可是居然比实体店贵！！！！！！,3
担心售后永远是个机器人,3
太黑，8G＋256的我朋友有买3900的这里4298。四月份买的,3
其他特色：腾讯视频看电视字幕模糊,3
还行吧，第一次在京东上买手机,3
使用两天感受，该卡还是卡,3
拍照效果：拍照一般，放大的时候很模糊,3
电量感觉还没有X6的耐用,3
适合女孩子用，不错不错,3
就是信号不好其它还可以,3
手机屏幕触控很不灵敏。。。。其它还可以,3
电池耗电比较快，其他目前还行,3
手机带的高清膜容易脏，容易破，其他的都还行,3
"手机通话杂音,换了手机仍未解决",3
手机发烫 用一会就热的厉害 ！,3
除了耗电量高，其他都很好,3
不说其他:       只说这个价格配的耳机真是一言难尽啊，之前买x6的原配耳机比这个好多了,3
刚开始用手机有一点小热，先用看看,3
宝贝还不错，但朋友128G的有送礼品收纳盒。我256G却什么都没！而且我还比她晚几天收到！,3
手机挺好的，就是电池续航较差。,3
挺好使的，就是很费电，一天至少两充,3
待机时间：待机时间挺短，像素不是那么高，总体还行,3
除了拍灯光会有炫光，其他方面挺好的,3
第一次买vivo手机，刚买就出现，卡的状态,3
电池下的好快啊，刚收到，用用再来评价吧,3
电不够用 耗电较快 整体还是不错的,3
视频播放不清晰。喜欢刷视频的小伙伴慎购,3
耗电太快，手感还好，容易误触,3
用了几天老是断流，更新系统后也一样,3
外形外观：5星屏幕音效：4星拍照效果：3星运行速度：4星待机时间：3星,3
还可以，不知道为啥感觉放大的时候，镜头要晃呢。,3
续航太差了，差的超出你的想象,3
手机用着还可以，就是视频长了，手机特别烫，酒爬爆炸，,3
真的的烫的要死，视频半小时就不行了，温度过高，自动关闭了，要买的慎入,3
运行速度：运行有卡顿 感觉翻新机待机时间：  不算长 。。。,3
总体可以的，耗电快散热慢，喜欢拍照的可以下手,3
待机时间：电池不耐用，拍照效果：拍照还可以，旗舰手机没有气压计，红外遥控,3
外形外观：镜头太凸起屏幕音效：一般般拍照效果：拍照还是很清晰,3
