评论,评分
什么客服发信息一直不回买个手机连耳机线都没有,1
手机网络一直2G 信号，重启换卡槽有时候会正常，用不了多久又变成2G的了，现在2G网络就用不了，只能用WIFI.要不网络就用不了,1
第一次用VIVO体验这么差,1
手机体验可以的，客服服务太差，说到没有做到，言而无信,1
此用户未填写评价内容,1
外形外观：这个手机真的差，最大音量很小声音质也差。卡托拔出真费劲。指纹识别在右侧很不习惯，运行速度也不见得很流畅,1
我刚买7天你就降价200块钱,1
谁买谁知道，才20天已经出现滑屏不流畅和卡死现象,1
总断网，不管换了什么电话卡都一样 有的时候wifi也断 请大家不要购买 我买的是iqoo   z3,1
玩有些游戏不能全屏，配置识别不了，售后给出答复不满意。,1
什么破手机，经常没网络,1
真心的坑啊！掉价比变脸都快。,1
买手机都不送耳机要了也不给,1
商品质量有问题，换货慢的不行。,1
建议不要买定位GPS有问题,1
新手机买了十多天，玩游卡的不行。,1
买这么贵的手机耳机都没个,1
原来官方自营店的有假货???,1
辣鸡客服，，刚买的手机降价了还不给补差价,1
不得不说，刚购买第二天就降价，非常好。,1
没耳机,1
手机喇叭有点杂音，其它都还可以,1
这电话很差劲 接电话有延迟  使用网络也慢 同一地点使用 之前的手机就不会出现这种情况,1
通话有回音，换货中,1
听筒不好，有时贴在耳朵上都听不见,1
网络不好，老是断网，垃圾手机，大家不要上当受骗了，,1
反应慢  连无线网网速慢不如Y66,1
买回来就修了2次了一个月12天主板就坏了，声音全无，真的卡好了1个月的换货时间了不知道是不是通病，其他人要买的时候注意点真的差评，十分不省心，不如以前用的其他牌子,1
快递自己去拿的，不送！,1
很少评价，以后再遇到这种情况我就拒收申请退款,1
怎么我看别人的有赠送耳机，我的怎么没有？,1
待机时间：一天，一天，就一天，,1
这电话打游戏，#都不是，什么天机，粑粑,1
什么东西都不送，只有一个手机一个线,1
赠品拖着不发货，不建议购买,1
一天一个价  天天都是有优惠  买完就降价,1
刚买11天就降价，，要买这款手机需注意买后没几天就会降价的,1
您没有填写内容，默认好评,1
买了屏幕有问题，换货搞了二十多天，差,1
不值得，玩游戏卡，电池不耐用,1
下单的白色  ，不知道为啥发了蓝色，是jd不想发展？,1
给家里买的，   算啦  发啥颜色用啥颜色吧，   希望jd好好干吧，，不要店大欺客,1
收到手机第二天就降价，还不让价保,1
手机不错，我搁京东买类不都是送到家吗，他叫我去自提,1
昨天到货就搞活动降价三百,1
买了三天降价100果然给力,1
不止我一个没收到赠送的耳机吧,1
说的保价11.1，怎么不退差价呢,1
还是可以的,1
Wifi信号时好时坏的，我原来的手机都没有这个问题,1
运行速度：刚刚开机就死机了   退货了,1
比三天前买的时候便宜200块，啥意思？,1
企业还是非常有担当的，有执行保价承诺，赞?，手机配置高，够用。,1
其他的都可以就是没忘配送耳机,1
说送耳机的，然而买了什么都没有,1
手机看视频会出现花屏，简直是赤裸裸敷衍,1
才收到货就降价200真的是搞不懂,1
三天后的就送耳机，手机发热严重，拍照也差,1
反应慢，信号差，容易死机,1
没到一个月，就降价100了，你当是割韭菜啊。。,1
耳机呢  耳机不是送吗  购物体验差,1
666，玩了没两天直接给我死机。,1
总是联不上网，是手机的问题,1
客服辣鸡问事情不清不楚的还不如在官网买送东西,1
不应该买就不会出现这么多的事情,1
降价真快，真心不值。,1
性能不好跟介绍不一样。,1
电池不耐用，送的星卡是过期的，送过来干嘛,1
一个月不到都出现几次卡顿现象,1
一个耳机都没有  这是跟风苹果吗   环保吗,1
屏幕上有几个手指印，可能是别人退货再销售的,1
此用户未填写评价内容,1
用了俩月手机死机了，屏目锁打不开了,1
手机发热的很,1
信号太差，经常没信号，别的还好。5G直接E.好多次了，不换了累。,1
手机用了一周后开始卡顿，和大部分游戏不兼容。进游戏很慢，比之前用的骁龙710还慢。搞不过前几代处理器？要么系统有问题，毕竟新的系统做的很差。千万别看跑分之类的，都是手机温度低的时候跑着还行。正真使用的时候就知道了。稍微发热就卡顿得很。无语了,1
手机很好   六星好评  这是溢出来的那颗送给京东物流的,1
此用户未及时填写评价内容,1
手机垃圾的很都不能正常使用在也不会买这个品牌了。,1
才买来用了三个月左右，现在充电手机就开始发烫电池也用不了一天,1
这什么啊   刚买10天的手机就降价了   就这,1
这个手机壳上面扣不严网手机里落灰，不好,1
评错了，这个是手机，我评价的是手机膜，手机孩子用呢，不知道啥样呢。,1
说好的提前购价同11.1呢？什么时候退差价？,1
退款已到账。,1
双十一买的2488现在才2200多,1
东西是不错，但是刚买回来还不超过十天就降价了让我太难受了,1
一般操作不方便屏幕不灵敏指纹解锁不好用,1
客服专业水准不行，连自己赠送的卡的激活流程都不知道,1
屏幕有时候会失灵，其他都还都还行,1
是真心不好，系统差极了，东西安装完找不到。指纹迟钝，工业垃圾产品。,1
真的无语，是什么猪脑子设计的这个系统？！来电挂机居然找不到来电号码。两套系统都是垃圾。,1
触摸屏效果很差，很多时候点了没有反应,1
刚到手 就出现有划痕 掉漆的情况 真的是  太难了,1
垃圾，音质比山寨机，还难听，像素差，后悔买了,1
手机还行，就是赠品问了才发送，结果发的几只笔  ，说好的送耳机 忽悠人,1
一波三折无话可说，不敢给快递员差评怕他电话骚扰，只能把差评送给平台，请笑纳。,1
买的是星云的，收到货是这个颜色，物流慢，是隔天到，都3天才到，,1
此用户未填写评价内容,1
此用户未填写评价内容,1
怎么没有耳机了？不是说有的吗？,1
手机会发烫，没用多久充电器就坏了,1
特别喜欢你们客服的抱歉，跟非常抱歉来解决问题。,1
价格还是买贵了，比其他商家贵了200。再看看吧,1
服务态度差，手机配件不齐全，也没有具体说明。,1
手机样式还可以，手机还没有开机，因为是送人用的。,1
买前热情满怀，买后无人问津，这客服还是够高冷的,1
待机时间：电用的好快！感觉有点卡顿,1
应用经常卡退，屏幕触控不好,1
为什么没有发票的，耳机也没有拍照的效果也不是很理想,1
