评论,评分
您没有填写内容，默认好评,1
您没有填写内容，默认好评,1
您没有填写内容，默认好评,1
您没有填写内容，默认好评,1
送的大王卡无故给取消了！,1
耳机啥都没有。怎么都成套路啦。,1
买了没有多久掉价了京东不是以前京东呢,1
手机壳装在原配手机套都会花得很厉害！,1
原配手机套会腐蚀手机后壳！,1
王者玩不了，还能说什么,1
谁买谁知道，才20天已经出现滑屏不流畅和卡死现象,1
总断网，不管换了什么电话卡都一样 有的时候wifi也断 请大家不要购买 我买的是iqoo   z3,1
玩有些游戏不能全屏，配置识别不了，售后给出答复不满意。,1
换货一回了，我想知道尾插口就这样吗，都有缺口,1
玩游戏闪退，不是偶尔，非常频繁，垃圾！,1
垃圾，游戏掉帧我就不说了，而且闪退，闪退，狂闪退！没法玩了，还游戏手机呢，没想到这么垃圾！！！！！！！！！！！！！！！,1
此用户未及时填写评价内容,1
无语，真的是小众手机不能买，给家里老人买的，一个手机居然不能连接移动数据，这还能叫手机？一个城市连一个实体售后服务检修点都没有，这么弱的售后还出来卖手机，无语了，倒闭吧，从来没买到的一个手机不能上网的，排除了所有的信号移动网络问题，才确定是手机问题，服务真差,1
质量太差了，维修也麻烦,1
门店的东西太歪了,1
手机老是没有信号，必须开一次飞行模式才可以,1
刚拆开的手机，花里胡哨,1
电话别人用个还拿来买,1
wifi极其不稳定，玩游戏跳一直ping,1
买完就掉价了1800多了还不给保单,1
系统有问题，明明有现货却显示要等几日再发货,1
把官网手机耳机分开卖，挺牛的,1
不好。电池不耐用。 卡的要死,1
买了就送耳机和数据线坑,1
刚收到货，马上就降价！京东拜拜了,1
怎么我看别人的有赠送耳机，我的怎么没有？,1
待机时间：一天，一天，就一天，,1
这电话打游戏，#都不是，什么天机，粑粑,1
什么东西都不送，只有一个手机一个线,1
赠品拖着不发货，不建议购买,1
一天一个价  天天都是有优惠  买完就降价,1
刚买11天就降价，，要买这款手机需注意买后没几天就会降价的,1
您没有填写内容，默认好评,1
买了屏幕有问题，换货搞了二十多天，差,1
不值得，玩游戏卡，电池不耐用,1
下单的白色  ，不知道为啥发了蓝色，是jd不想发展？,1
给家里买的，   算啦  发啥颜色用啥颜色吧，   希望jd好好干吧，，不要店大欺客,1
收到手机第二天就降价，还不让价保,1
手机不错，我搁京东买类不都是送到家吗，他叫我去自提,1
昨天到货就搞活动降价三百,1
买了三天降价100果然给力,1
不止我一个没收到赠送的耳机吧,1
说的保价11.1，怎么不退差价呢,1
还是可以的,1
Wifi信号时好时坏的，我原来的手机都没有这个问题,1
运行速度：刚刚开机就死机了   退货了,1
比三天前买的时候便宜200块，啥意思？,1
企业还是非常有担当的，有执行保价承诺，赞?，手机配置高，够用。,1
其他的都可以就是没忘配送耳机,1
说送耳机的，然而买了什么都没有,1
手机看视频会出现花屏，简直是赤裸裸敷衍,1
才收到货就降价200真的是搞不懂,1
三天后的就送耳机，手机发热严重，拍照也差,1
反应慢，信号差，容易死机,1
没到一个月，就降价100了，你当是割韭菜啊。。,1
耳机呢  耳机不是送吗  购物体验差,1
666，玩了没两天直接给我死机。,1
总是联不上网，是手机的问题,1
客服辣鸡问事情不清不楚的还不如在官网买送东西,1
不应该买就不会出现这么多的事情,1
降价真快，真心不值。,1
性能不好跟介绍不一样。,1
电池不耐用，送的星卡是过期的，送过来干嘛,1
一个月不到都出现几次卡顿现象,1
一个耳机都没有  这是跟风苹果吗   环保吗,1
像素超级垃圾，相机还有一个自动优化，优化超级丑。待机时间一般般，不过充电速度很快,1
