评论,评分
充电非常快好用外形外观：漂亮拍照效果：爽运行速度：快待机时间：一般,5
手机不错，用起来很顺畅,5
质量保证，送货快，安装服务一步到位。中国品牌越来越可以，不比国外的差。出热水特别快，很满意。外形好看，实用大气，非常不错的。,5
不错不错，手机看起来挺漂亮的，现在玩起来是挺快，反应挺好，屏幕音效：屏幕也挺清晰的，声音也又那么大。拍照效果：拍照效果挺清晰的，,5
给妈妈买的，非常实用，性价比很高,5
赶上活动价买的，超级划算！手机运行速度快，玩起游戏来超棒??值得购买！,5
手机不错，好用不贵！,5
送朋友的，相当不错,5
刚使用，现在手机体验可以，很顺畅，打游戏也不卡,5
颜值很号，速度快，充电快。囧均码莫莫莫你就,5
非常棒,5
外形外观：漂亮,5
给力,5
手机不错 用了一段时间了 流畅度也很好 款式新颖 内存也够大 5G安卓手机里不错的选择  价格也可以接受 总体来说很不错,5
可以，高通的cPU。威武的品质值得信赖。,5
一直都相信京东上买的东西，质量好送货快，非常好用。,5
还不错啊，配置高，充电快,5
机型好看，运行神速，,5
客服态度很好.快递物流也很快.我前天买的，昨天中午就到了,5
非常好用的。值得购买。京东无理由退货。很方便值得信赖！！！！,5
东西收到了，非常满意，质量也很好，这次购物体验很棒,5
东西收到了，非常满意，质量也很好，这次购物体验很棒,5
手机运行流畅没问题，手机屏幕顺滑没问题，手机内存cpu方面打王者吃鸡原神哈利波特~大神阴阳师都能最低画质运行，而且发热也控制住了,5
物美价廉，5g双模手机，上网速度非常快，非常好用！,5
我家手机一直在京东买,5
机子整体问题不大，外观也漂亮，要是能薄一点就好了,5
外形外观：个人很喜欢，拍照效果：非常清晰。待机时间：用两天不充电,5
外观简约时尚，做工精细，喜欢！！,5
很好，很满意哦我真的很喜欢的,5
外形外观：看第一眼就特别喜欢！拿着也舒服！后壳颜色也好看！非常大气！！很喜欢！屏幕音效：音效非常好！看电视还是听歌！都非常棒！屏幕大！反应也快！待机时间：充一次电待机时长都能用好久！充电速度极快！用的时间还长！太棒了！拍照效果：像素非常清晰！放大拍照也很清晰！超广角也是很棒！总之我非常喜欢这个手机！棒??运行速度：运行速度也很快！都不用等！一点就进入！,5
