评论,评分
卡，手机卡特别不好用，不值,1
此用户未及时填写评价内容,1
真正的垃圾手机！谁卡的一批！,1
此用户未及时填写评价内容,1
大家不要买这**手机，用了三个月经常性没有网络闹钟也经常不响,1
此用户未及时填写评价内容,1
只管卖，有问题找售后，推的一干二净。vivo手机不错 但建议大家去实体店购买，,1
1，打王者一个小时后按钮没反应，英雄乱跑2，信号不稳定，空旷地方突然没信号，要重启作为两千六七的手机，第一次用vivo，体验度一般般,1
用了几周发现短信验证码经常延时到达,1
此用户未及时填写评价内容,1
新手机就卡卡卡，还没一个几年的旧手机顺畅，无线网和流量都卡，太差了,1
此用户未及时填写评价内容,1
极差 超级差，首先是手机卡顿，各种卡，滑屏幕都卡，后来售后维修了半个月，前后摄像头模糊了，就像糊了一层保鲜膜，真心不要买，售后超级极差，商品本身就有问题，建议都不要买，特特特差,1
自己看吧，还是别在网上买手机了，才买30天左右，摄像头就坏了，没有摔过，自己无缘无故就坏了，拍照特别昏，真是无语，售后就会敷衍,1
以后买手机还是去实体店吧，京东不行，有问题一直敷衍，幸好线下官方店售后还不错的，及时帮我解决了,1
此用户未及时填写评价内容,1
差评，以后还是不要看直播买东西，说好的充电器也不送，买完手机找客服爱理不理，真恶心,1
已退货不做评价,1
此用户未及时填写评价内容,1
用了不到三个月，关机键按不动，一按就切到了语音控制，第一次用vivo就这体验。售后肯定又是拆机，新机就拆了真是不乐意，体验太差了。,1
此用户未及时填写评价内容,1
发烫手机，导航发烫，刷视频发烫，视频通话最汤，感觉要爆炸，反正就一个字烫,1
正常使用，还没多久就裂开了？又不是我人为的，华为那个数据线用两年了还是好好的，叫补发还不愿意！,1
卡死 经常白屏 买了没俩月就有问题 现在都快用不了了 买了后悔系列 啥也不是 非常不好 白扔钱 一定不要买,1
也就那样吧！没什么好的！,1
此用户未及时填写评价内容,1
用了一段时间，垃圾，链接个无线，老是显示无ip分配，以前的手机就可以连接上。,1
什么垃圾手机，用了一个星期送话器坏了，客服让我再用段时间，又用了一个月又这里坏，那里坏的,1
手机很好的，客服也好。我是说京东这次不好。,1
此用户未及时填写评价内容,1
感觉不怎么好。不存电。建议大家别买。应该到正规的商店去买。这个手机真的是太不值了。希望大家擦亮眼睛。,1
是S9这系列手机像素都这样吗  还是我买到假货了  拍出来的照片是这样的  以前用的X23拍出来很清楚 聚焦也好,1
我才用一个多月  不到两月  就这样了  客服不给换  说我磨损  我用别的手机三年也没磨损一点  垃圾  别买了吧,1
此用户未及时填写评价内容,1
不好，别买这个手机，一到四十几以下的电量网络就很卡，刷视频玩游戏卡的要死，充到50的电量网才好?,1
言而无信，坑蒙顾客。白纸黑字写着的送达时间，你们没有办到，失信于人。当天的快递电话是假的。快递人员也不是本人。于是我发起投诉和催单。除了说一些没用的废话以外，没有办任何正经事儿。有意外没送到，我可以原谅。但应该给我一个最快捷，最有效率的解决方法。我主动两次登门自提。都未能如愿。我看不起你们。不干事，遇到事情，推诿扯皮。,1
我只能说一句垃圾，刚买一个多月，打电话每次莫名其妙断线，我笑了，严重怀疑翻新机,1
差评,1
